After training 7.36 hours, episode: 24800.0, frames: 6.25M, average reward: 2.99
After training 7.40 hours, episode: 24900.0, frames: 6.28M, average reward: 2.15
After training 7.43 hours, episode: 25000.0, frames: 6.30M, average reward: 2.76
After training 7.46 hours, episode: 25100.0, frames: 6.32M, average reward: 1.38
After training 7.49 hours, episode: 25200.0, frames: 6.34M, average reward: 3.46
After training 7.52 hours, episode: 25300.0, frames: 6.37M, average reward: 1.72
After training 7.55 hours, episode: 25400.0, frames: 6.39M, average reward: 2.15
After training 7.58 hours, episode: 25500.0, frames: 6.41M, average reward: 3.23
After training 7.61 hours, episode: 25600.0, frames: 6.43M, average reward: 3.21
After training 7.64 hours, episode: 25700.0, frames: 6.46M, average reward: 1.72
After training 7.66 hours, episode: 25800.0, frames: 6.48M, average reward: 1.75
After training 7.69 hours, episode: 25900.0, frames: 6.50M, average reward: 1.03
After training 7.73 hours, episode: 26000.0, frames: 6.53M, average reward: 1.93
After training 7.76 hours, episode: 26100.0, frames: 6.56M, average reward: 1.39
After training 7.78 hours, episode: 26200.0, frames: 6.58M, average reward: 3.98
After training 7.81 hours, episode: 26300.0, frames: 6.61M, average reward: 3.49
After training 7.85 hours, episode: 26400.0, frames: 6.63M, average reward: 1.06
After training 7.87 hours, episode: 26500.0, frames: 6.65M, average reward: 1.04
After training 7.90 hours, episode: 26600.0, frames: 6.67M, average reward: 1.68
After training 7.93 hours, episode: 26700.0, frames: 6.70M, average reward: 3.49
After training 7.96 hours, episode: 26800.0, frames: 6.73M, average reward: 2.29
After training 7.99 hours, episode: 26900.0, frames: 6.75M, average reward: 2.32
After training 8.03 hours, episode: 27000.0, frames: 6.77M, average reward: 1.29
After training 8.06 hours, episode: 27100.0, frames: 6.80M, average reward: 3.45
After training 8.09 hours, episode: 27200.0, frames: 6.82M, average reward: 3.33
After training 8.12 hours, episode: 27300.0, frames: 6.85M, average reward: 1.83
After training 8.15 hours, episode: 27400.0, frames: 6.88M, average reward: 3.23
After training 8.18 hours, episode: 27500.0, frames: 6.91M, average reward: 3.18
After training 8.21 hours, episode: 27600.0, frames: 6.93M, average reward: 2.05
After training 8.24 hours, episode: 27700.0, frames: 6.95M, average reward: 2.97
After training 8.27 hours, episode: 27800.0, frames: 6.98M, average reward: 2.10
After training 8.30 hours, episode: 27900.0, frames: 7.01M, average reward: 3.39
After training 8.33 hours, episode: 28000.0, frames: 7.03M, average reward: 3.91
After training 8.37 hours, episode: 28100.0, frames: 7.05M, average reward: 1.28
After training 8.39 hours, episode: 28200.0, frames: 7.08M, average reward: 3.09
After training 8.43 hours, episode: 28300.0, frames: 7.10M, average reward: 2.71
After training 8.46 hours, episode: 28400.0, frames: 7.12M, average reward: 1.61
After training 8.48 hours, episode: 28500.0, frames: 7.14M, average reward: 2.32
After training 8.51 hours, episode: 28600.0, frames: 7.17M, average reward: 3.93
After training 8.54 hours, episode: 28700.0, frames: 7.19M, average reward: 2.63
After training 8.57 hours, episode: 28800.0, frames: 7.22M, average reward: 1.99
After training 8.60 hours, episode: 28900.0, frames: 7.25M, average reward: 3.08
After training 8.63 hours, episode: 29000.0, frames: 7.27M, average reward: 1.37
After training 8.66 hours, episode: 29100.0, frames: 7.30M, average reward: 2.68
After training 8.69 hours, episode: 29200.0, frames: 7.33M, average reward: 2.47
After training 8.71 hours, episode: 29300.0, frames: 7.35M, average reward: 3.17
After training 8.75 hours, episode: 29400.0, frames: 7.38M, average reward: 3.45
After training 8.78 hours, episode: 29500.0, frames: 7.40M, average reward: 3.20
After training 8.81 hours, episode: 29600.0, frames: 7.43M, average reward: 2.91
After training 8.84 hours, episode: 29700.0, frames: 7.46M, average reward: 3.98
After training 8.87 hours, episode: 29800.0, frames: 7.48M, average reward: 3.17
After training 8.90 hours, episode: 29900.0, frames: 7.51M, average reward: 1.44
After training 8.94 hours, episode: 30000.0, frames: 7.53M, average reward: 1.04
After training 8.97 hours, episode: 30100.0, frames: 7.56M, average reward: 6.55
After training 9.00 hours, episode: 30200.0, frames: 7.58M, average reward: 4.25
After training 9.03 hours, episode: 30300.0, frames: 7.61M, average reward: 6.91
After training 9.06 hours, episode: 30400.0, frames: 7.63M, average reward: 3.02
After training 9.09 hours, episode: 30500.0, frames: 7.65M, average reward: 3.09
After training 9.12 hours, episode: 30600.0, frames: 7.68M, average reward: 6.21
After training 9.15 hours, episode: 30700.0, frames: 7.71M, average reward: 5.55
After training 9.18 hours, episode: 30800.0, frames: 7.74M, average reward: 4.84
After training 9.21 hours, episode: 30900.0, frames: 7.77M, average reward: 4.26
After training 9.24 hours, episode: 31000.0, frames: 7.79M, average reward: 5.24
After training 9.27 hours, episode: 31100.0, frames: 7.81M, average reward: 6.77
After training 9.30 hours, episode: 31200.0, frames: 7.84M, average reward: 5.50
After training 9.33 hours, episode: 31300.0, frames: 7.86M, average reward: 4.38
After training 9.36 hours, episode: 31400.0, frames: 7.89M, average reward: 5.17
After training 9.39 hours, episode: 31500.0, frames: 7.92M, average reward: 5.35
After training 9.42 hours, episode: 31600.0, frames: 7.94M, average reward: 5.12
After training 9.46 hours, episode: 31700.0, frames: 7.97M, average reward: 5.12
After training 9.49 hours, episode: 31800.0, frames: 7.99M, average reward: 6.70
After training 9.52 hours, episode: 31900.0, frames: 8.02M, average reward: 6.10
After training 9.55 hours, episode: 32000.0, frames: 8.04M, average reward: 5.27
After training 9.58 hours, episode: 32100.0, frames: 8.07M, average reward: 4.83
After training 9.61 hours, episode: 32200.0, frames: 8.09M, average reward: 3.15
After training 9.63 hours, episode: 32300.0, frames: 8.12M, average reward: 5.21
After training 9.66 hours, episode: 32400.0, frames: 8.15M, average reward: 4.33
After training 9.69 hours, episode: 32500.0, frames: 8.17M, average reward: 5.60
After training 9.73 hours, episode: 32600.0, frames: 8.20M, average reward: 6.38
After training 9.76 hours, episode: 32700.0, frames: 8.22M, average reward: 3.89
After training 9.79 hours, episode: 32800.0, frames: 8.25M, average reward: 4.26
After training 9.81 hours, episode: 32900.0, frames: 8.27M, average reward: 4.46
After training 9.84 hours, episode: 33000.0, frames: 8.29M, average reward: 6.79
After training 9.87 hours, episode: 33100.0, frames: 8.32M, average reward: 4.50
After training 9.90 hours, episode: 33200.0, frames: 8.35M, average reward: 6.58
After training 9.93 hours, episode: 33300.0, frames: 8.37M, average reward: 3.83
After training 9.96 hours, episode: 33400.0, frames: 8.39M, average reward: 6.41
After training 9.99 hours, episode: 33500.0, frames: 8.42M, average reward: 6.03
After training 10.02 hours, episode: 33600.0, frames: 8.45M, average reward: 6.80
After training 10.05 hours, episode: 33700.0, frames: 8.48M, average reward: 5.96
After training 10.08 hours, episode: 33800.0, frames: 8.50M, average reward: 6.04
After training 10.10 hours, episode: 33900.0, frames: 8.53M, average reward: 6.13
After training 10.13 hours, episode: 34000.0, frames: 8.55M, average reward: 3.21
After training 10.16 hours, episode: 34100.0, frames: 8.57M, average reward: 3.04
After training 10.19 hours, episode: 34200.0, frames: 8.60M, average reward: 6.75
After training 10.23 hours, episode: 34300.0, frames: 8.62M, average reward: 6.00
